game_seq,player,category,score,recorded_total
1,jordan,ones,3,214
1,jordan,twos,6,214
1,jordan,threes,9,214
1,jordan,fours,8,214
1,jordan,fives,15,214
1,jordan,sixes,18,214
1,jordan,upper_bonus,0,214
1,jordan,three_of_a_kind,22,214
1,jordan,four_of_a_kind,0,214
1,jordan,full_house,25,214
1,jordan,small_straight,30,214
1,jordan,large_straight,0,214
1,jordan,yahtzee,50,214
1,jordan,chance,28,214
1,jordan,yahtzee_bonus,0,214
1,erin,ones,2,266
1,erin,twos,4,266
1,erin,threes,12,266
1,erin,fours,16,266
1,erin,fives,20,266
1,erin,sixes,24,266
1,erin,upper_bonus,35,266
1,erin,three_of_a_kind,0,266
1,erin,four_of_a_kind,28,266
1,erin,full_house,25,266
1,erin,small_straight,30,266
1,erin,large_straight,40,266
1,erin,yahtzee,0,266
1,erin,chance,30,266
1,erin,yahtzee_bonus,0,266
2,jordan,ones,1,116
2,jordan,twos,0,116
2,jordan,threes,6,116
2,jordan,fours,12,116
2,jordan,fives,10,116
2,jordan,sixes,12,116
2,jordan,upper_bonus,0,116
2,jordan,three_of_a_kind,21,116
2,jordan,four_of_a_kind,0,116
2,jordan,full_house,0,116
2,jordan,small_straight,30,116
2,jordan,large_straight,0,116
2,jordan,yahtzee,0,116
2,jordan,chance,24,116
2,jordan,yahtzee_bonus,0,116
2,erin,ones,3,180
2,erin,twos,6,180
2,erin,threes,3,180
2,erin,fours,4,180
2,erin,fives,15,180
2,erin,sixes,6,180
2,erin,upper_bonus,0,180
2,erin,three_of_a_kind,19,180
2,erin,four_of_a_kind,0,180
2,erin,full_house,0,180
2,erin,small_straight,0,180
2,erin,large_straight,40,180
2,erin,yahtzee,50,180
2,erin,chance,29,180
2,erin,yahtzee_bonus,0,180
3,jordan,ones,3,430
3,jordan,twos,4,430
3,jordan,threes,9,430
3,jordan,fours,16,430
3,jordan,fives,20,430
3,jordan,sixes,18,430
3,jordan,upper_bonus,35,430
3,jordan,three_of_a_kind,24,430
3,jordan,four_of_a_kind,29,430
3,jordan,full_house,25,430
3,jordan,small_straight,30,430
3,jordan,large_straight,40,430
3,jordan,yahtzee,50,430
3,jordan,chance,27,430
3,jordan,yahtzee_bonus,100,430
3,erin,ones,2,151
3,erin,twos,2,151
3,erin,threes,6,151
3,erin,fours,0,151
3,erin,fives,10,151
3,erin,sixes,12,151
3,erin,upper_bonus,0,151
3,erin,three_of_a_kind,18,151
3,erin,four_of_a_kind,0,151
3,erin,full_house,0,151
3,erin,small_straight,30,151
3,erin,large_straight,0,151
3,erin,yahtzee,50,151
3,erin,chance,21,151
3,erin,yahtzee_bonus,0,151
