merchant_name_raw,pub_name,lat,lng,note,photo_url,photo_attribution
ANCHOR BAR,Anchor Bar,51.5073,-0.0931,Flint Eye / Bankside,pub_map/photos/anchor_bar.jpg,Ian S / geograph.org.uk (CC BY-SA 2.0)
CROWN TAVERN EC1,The Crown Tavern,51.523179,-0.105238,Clerkenwell Green — OSM seed,pub_map/photos/crown_tavern.jpg,No Swan So Fine / Wikimedia Commons (CC BY-SA 4.0)
ANCHOR BANKSIDE,Anchor Bar,51.5073,-0.0931,Chase alias for Anchor Bar / Bankside — same pin as ANCHOR BAR,pub_map/photos/anchor_bar.jpg,Ian S / geograph.org.uk (CC BY-SA 2.0)
MC AND SONS VAUXHALL,MC and Sons Vauxhall,51.4862183,-0.1195286,Jordan 2026-09-14: MC and Sons Vauxhall — 355 Kennington Lane (separate pin from Southwark),pub_map/photos/mc_and_sons_vauxhall.jpg,Ewan-M / Wikimedia Commons (CC BY-SA 4.0)
MC AND SONS,MC and Sons Southwark,51.5038242,-0.0998305,Jordan 2026-09-14: MC and Sons Southwark — 160 Union Street (separate pin from Vauxhall),pub_map/photos/mc_and_sons_southwark.jpg,N Chadwick / geograph.org.uk (CC BY-SA 2.0)
THE BLACK DOG VAUX,The Black Dog,51.4886893,-0.1209019,112 Vauxhall Walk — Chase THE BLACK DOG VAUX,pub_map/photos/black_dog.jpg,Chris Whippet / geograph.org.uk (CC BY-SA 2.0)
GORDON'S WINE BAR,Gordon's Wine Bar,51.5079244,-0.1233137,47 Villiers Street,pub_map/photos/gordons_wine_bar.jpg,Ewan-M / Wikimedia Commons (CC BY-SA 4.0)
DE BEAUVOIR ARMS,De Beauvoir Arms,51.5416461,-0.085144,113 Southgate Road,pub_map/photos/de_beauvoir_arms.jpg,Chris Whippet / geograph.org.uk (CC BY-SA 2.0)
THREE JOHNS,The Three Johns,51.532915,-0.1090829,"73 White Lion Street, Islington",pub_map/photos/three_johns.jpg,Ewan-M / Wikimedia Commons (CC BY-SA 4.0)
WHITE HORSE,White Horse Peckham,51.4659902,-0.067218,"Jordan 2026-09-15: 20-222 Peckham Rye, London SE15 4JR — Nominatim pub match is The White Horse, 20 Peckham Rye SE15 4JR",pub_map/photos/white_horse_peckham.jpg,Ewan Munro / Wikimedia Commons (CC BY-SA 2.0)
THE CANTON ARMS,The Canton Arms,51.4771539,-0.122896,177 South Lambeth Road,pub_map/photos/canton_arms.jpg,Reading Tom / Wikimedia Commons (CC BY 2.0)
CADOGAN ARMS,Cadogan Arms,51.4859699,-0.1729707,"298 Old Church Street / World's End, Chelsea",pub_map/photos/cadogan_arms.jpg,Jordan
THE SHIP,The Ship,51.4992665,-0.0969249,"Jordan confirm: 68 Borough Rd, London SE1 1DX",pub_map/photos/the_ship.jpg,Christine Matthews / geograph.org.uk (CC BY-SA 2.0)
